Prueba1    ||    00:00:06:86    ||       7       ||    3
Prueba2    ||    00:00:05:07    ||       7       ||    3skdjfksjdfh    ||    00:00:06:67    ||       7       ||    3
    ||    00:00:04:94    ||       3       ||    3
